Nombre beneficiario;Nombre operación;Montante;pagado final;concesión/año
Instituto Español de Comercio Exterior (ICEX) (MINECO);EE ESPAÑA-COREA DEL SUR-OFECOMES (complementaria);657,25;657,25;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);ENCUENTRO EMPREARIAL ESPAÑA-OMAN 2010;5.180,56;5.180,56;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);OAP MÉXICO 2010 - IV FERIA IMPORTADORES;717,32;717,32;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV2 JAPÓN 2010 - PROMOCIONES PUNTOS DE VENTA (PU);864,17;864,17;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF(1) MIPCOM-11- CANNES;91.379,93;91.379,93;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV 2 PUBLI. DINAMARCA VINAVISEN 2010-2011 (PU);279,74;279,74;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO 1 GAME CONNECTION 2010 LYON;17.446,03;17.446,03;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO5 - HONG KONG INT. WINE AND SPIRITS FAIR 2010;186,00;186,00;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO1 HOFEX 2011 - HONG KONG (PI);5.167,26;5.167,26;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FORO ESPAÑA-VIETNAM;7.319,28;7.319,28;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2) GAME CONNECTION LYON 2010;2.163,59;2.163,59;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);ENCUENTRO EMPREARIAL ESPAÑA-OMAN 2010 (OFECOMES);8.386,84;8.386,84;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 PRODEXPO 2011- MOSCÚ;2.694,10;2.694,10;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO (1) - NAFSA 2011;15.081,40;15.081,40;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(2) LICENSING INTERNATIONAL EXPO 2011;1.670,25;1.670,25;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(1)-MIF 2011- CANNES (FRANCIA);11.730,78;11.730,78;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO(3)GAME CONNECTION LYON 2010;728,98;728,98;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO2- CABSAT 2011 - DUBAI (EAU);1.406,90;1.406,90;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);PGV EEUU 2010 - GREAT MATCH (PC);1.929,44;1.929,44;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF COSMOPROF 2011 - BOLONIA - ITALIA;1.178,66;1.178,66;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPINF1 SPIELWARENMESSE 2011 - NÜREMBERG - ALEMANIA;901,02;901,02;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6 - BIG FIVE SHOW 2010 - DUBAI (EAU);1.851,33;1.851,33;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO6- BIG FIVE SHOW 2010 - DUBAI (EAU);1.790,48;1.790,48;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO3 ISM 2011, COLONIA (PI);1.092,15;1.092,15;2010
Instituto Español de Comercio Exterior (ICEX) (MINECO);FPO COSMOPROF ASIA 2011 - HONG KONG - CHINA;2.966,70;2.966,70;2010
